prioridad,id,sku,titulo,categoria,marca,precio,unidades_12m,capacidad,ram,conector,longitud,potencia,pulgadas,gama,condicion,bateria,imei,replica
177,6495,"558","Cable Micro USB Royalcell","Cables de carga","",6000,1,"","","Micro USB","","","","","","","",""
178,6906,"CAB-KOLKE-KOLKE","Cable USB c  KOLKE 3A","Cables de carga","Kolke",6000,1,"","","","","","","","","","",""
179,6301,"211","Auriculares manos libres JBL in ear C50H","Auriculares inalámbricos","FoxBox",24000,1,"","","","","","","","","","",""
180,6557,"CAB-GEN-ALIMEN","Cable alimentacion generico interlook 220 cpu","Cables de carga","",5000,1,"","","","","","","","","","",""
181,6814,"SMW-NOGA-RELOJ","Reloj Smartwatch NOGANET NG POWER","Smartwatch","Noganet",46000,1,"","","","","","","","","","",""
182,7779,"","Kit Directv prepago 60cm","Sin categorizar","",49000,1,"","","","","","","","","","",""
183,6816,"FND-SEIS-HOLDER","Soporte Holder SEISA brazo largo ventosa","Fundas","Seisa",13000,1,"","","","","","","","","","",""
184,6927,"RAD-GEN-TO1601","Radio reproductor TOMATE TO1601 solar","Radios y Sintonizadores","",56000,1,"","","","","","","","","","",""
185,6613,"ELE-PHCO-AFEITA","Afeitadora Philco 3 cabezas AE 5105pp","Cuidado personal","Philco",59000,1,"","","","","","","","","","",""
186,6692,"RAD-WINC-W2004","Radio Winco DUAL W2005 AM/FM","Radios y Sintonizadores","Winco",53000,1,"","","","","","","","","","",""
187,6926,"RAD-GEN-TO1530","Radio reproductor TOMATE TO1530","Radios y Sintonizadores","",52000,1,"","","","","","","","","","",""
188,6922,"FND-GEN-COBERT","Cobertor funda para fuentes 20w","Fundas","",8000,1,"","","","","20W","","","","","",""
189,7443,"","Kit de cables 800w 10 Gauge Blauline","Cables de audio","",49000,1,"","","","","800W","","","","","",""
190,6910,"AUR-NOGA-NGBT300","Auriculares NOGANET NGBT300 Sport fit","Auriculares inalámbricos","Noganet",14800,1,"","","","","","","","","","",""
191,6781,"TVS-GEN-W3350M","Soporte Movil para TV WAVETV W3350M Brazo doble 26 - 60''","Soportes para TV","",46000,1,"","","","","","60\""","","","","",""
192,6412,"361","Matera canasta cuero 100%","Mates","",47000,1,"","","","","","","","Usado","100%","",""
193,7440,"Cable Fox Box Prism Micro USB 1,25m","Cable Fox Box Prism Micro USB 1,25m","Auriculares inalámbricos","FoxBox",7000,1,"","","Micro USB","1.25m","","","","","","",""
194,6664,"SMW-GEN-SMARTW","Smartwatch Gran Luxy 37","Smartwatch","",29000,1,"","","","","","","","","","",""
195,6855,"ELE-ULTRCOMB-PEAT1351","Pava electrica Ultracomb corte mate","Cocina","Ultracomb",49000,1,"","","","","","","","","","",""
196,6673,"PER-TARG-KIT-2","Kit Gamer TARGA 400","Periféricos","Targa",35000,1,"","","","","","","","","","",""
197,6780,"TVS-NETM-ST34","Soporte Movil para TV Netmak NM ST34 23 - 43''","Soportes para TV","Netmak",34000,1,"","","","","","43\""","","","","",""
198,7991,"","Cargador Fox Box MEGA 20W C/cable tipo C","Sin categorizar","",26000,1,"","","Tipo C","","20W","","","","","",""
199,7319,"","Cargador portatil Lambo tech PL82 20.000mah","Power banks","",26000,1,"","","","","","","","","","",""
200,6815,"RTR-GEN-RED","Cable de red 2m","Routers y WiFi","",6000,1,"","","","2m","","","","","","",""
