"prioridad","id","sku","titulo","categoria","marca","precio","stock","estado_stock","unidades_12m","facturado_12m","tiene_foto","tiene_descripcion"
"135","6934","PRI-CANO-G2100","Impresora Canon multifunción G2100","Impresoras","Canon","455000","0","outofstock","1","473100","NO","SI"
"136","7318","","Parlante Dinax Beat 20.000w 2 x 10''","Parlantes profesionales","","365000","0","outofstock","1","0","NO","NO"
"137","6541","969","Parlante Brodu iKaraoke Box 360 2x 1990","Parlantes profesionales","Brodu","295000","0","outofstock","1","100000","NO","SI"
"138","6834","CAM-ORYX-KIT320G","Kit Camaras ORYX x4 + Disco 320gb","Kits CCTV","Oryx","295000","0","outofstock","1","180000","NO","SI"
"139","6739","VEH-ECOP-EP7013","Estéreo Ecopower EP-7013","Estéreos de auto","Ecopower","220000","0","outofstock","1","211000","SI","SI"
"140","7125","","Camara de seguridad ECOPOWER EPC049","Cámaras de seguridad","","230000","0","outofstock","1","0","NO","NO"
"141","6898","PAR-NETM-NETMAK8P","Parlante NETMAK Epic 8'' x2 con microfono","Parlantes profesionales","Netmak","189000","0","outofstock","1","189000","NO","SI"
"142","6952","MON-GFST-T220","Monitor Gfast 21,5'' T220 60hz HDMI/VGA","Monitores","Gfast","195000","0","outofstock","1","195000","NO","SI"
"143","6762","SMW-FOX-RELOJ-3","Reloj Smartwatch Fox Box NUMA","Smartwatch","FoxBox","189000","0","outofstock","1","179550","NO","SI"
"144","6802","MON-GFST-MONITO6P","Monitor E-view 20'' VGA/HDMI","Monitores","","185000","1","instock","1","0","NO","SI"
"145","6333","265","Parlante Dinax Aspen 12""","Parlantes profesionales","Dinax","145000","0","outofstock","1","0","NO","SI"
"146","6961","TVB-ROKU-ROKU-2","Roku Express Replica android","TV Box y streaming","Roku","69000","3","instock","1","0","NO","SI"
"147","7435","203-4","Auricular JBL vincha Tune 520 tc","Auriculares inalámbricos","JBL","98000","0","outofstock","1","0","NO","SI"
"148","6843","CAR-NETM-NMCP28","Cargador NETMAK NMCP28 QC 20w","Cargadores de pared","Netmak","17000","1","instock","1","17000","NO","SI"
"149","6950","CAR-NETM-NETMAK-2","Cargador NETMAK NMCP5 25w tipo C sin cable","Cargadores de pared","Netmak","12000","8","instock","1","12000","NO","SI"
"150","6964","AUR-BAOF-BF777S","Walkie Tokie BAOFENG BF777S","Auriculares inalámbricos","Baofeng","75000","0","outofstock","1","75000","NO","SI"
"151","6895","CAM-EZVZ-CAMARA","Camara de seguridad EZVIZ H8C Domo HD vision nocturna 30m","Cámaras de seguridad","EZVIZ","109000","2","instock","1","54500","NO","SI"
"152","7537","","Parlantes 6x9 Smart Tech 800w ts 6972","Accesorios Vehículo","","89000","0","outofstock","1","81880","NO","NO"
"153","6793","","Proyector NETMAK NMPR300 Android 14 - 150""","Proyectores","Kelyx","109000","2","instock","1","18000","NO","SI"
"154","7515","CLI-ORYX-CALOVE-1","Caloventor Oryx 2000w","Climatización","Oryx","35000","1","instock","1","27900","NO","SI"
"155","6797","SMW-KIES-RELOJ","Reloj Smartwatch KIESLECT Kr Pro","Smartwatch","Kieslect","85000","0","outofstock","1","0","NO","SI"
"156","6608","PAR-GEN-BLUETO","Parlante Bluetooth 6.5 x2 6603","Parlantes profesionales","","65000","0","outofstock","1","55000","NO","SI"
"157","6984","541-42","Funda premium 2","Vidrios templados e hidrogel","","11000",,"instock","1","11000","NO","SI"
"158","6298","205","Auricular manos libres Fox Box TEMPO","Auriculares inalámbricos","FoxBox","59000","0","outofstock","1","0","NO","SI"
"159","6661","CAB-APPLE-IPHONE","Cable iPhone USB C a USB C Original 60w","Cables de carga","Apple","39000","9","instock","1","39000","NO","SI"
"160","7317","","Camara de seguridad TAPO C510 Exterior movimiento remoto","Cámaras de seguridad","","98000","1","instock","1","0","NO","NO"
"161","6513","587","Nano glass","Vidrios templados e hidrogel","","5000","99939","instock","1","5000","NO","SI"
"162","7801","","Parlante MALIBU MS3627 4''","Sin categorizar","","78000","1","instock","1","72000","NO","NO"
"163","6784","PAR-KBRD-KTS1861","Parlante Kbroad 2 x 6.5'' c/microfono KTS1861","Parlantes profesionales","Kbroad","55000","0","outofstock","1","0","NO","SI"
"164","7115","","Silla de oficina NOGANET","Periféricos","","98000","2","instock","1","0","NO","NO"
"165","7345","","Parlantes redondos 5'' 200w  Mundo JW","Parlantes profesionales","","48000","0","outofstock","1","48000","NO","NO"
"166","7811","","Reloj Smartwatch Bulltec DUO Watch","Sin categorizar","","69000","1","instock","1","0","NO","NO"
"167","6614","RTR-TPL-C24","Router TP-Link Archer C24 AC750","Routers y WiFi","TP-Link","49500","3","instock","1","49000","NO","SI"
"168","6521","768","Cable Fox Box 60W Loop","Cables de carga","FoxBox","16000","4","instock","1","17000","NO","SI"
"169","6836","CAB-KOLKE-TIPO","Cable usb tipo C a C KOLKE  trenzado magnético","Cables de carga","Kolke","15000","2","instock","1","14000","NO","SI"
"170","7237","","Cable Philips tipo C","Cables de carga","","15000","5","instock","1","17000","NO","NO"
"171","6923","TAB-APPLE-APPLE","Apple Pencil 2da gen AAA","Tablets","Apple","65000","0","outofstock","1","65000","NO","SI"
"172","6317","241","Router Tenda N300","Routers y WiFi","","39000","0","outofstock","1","0","NO","SI"
"173","6862","CAB-KOLKE-C8708","Cable KOLKE tipo C a tipo C KCC8708","Cables de carga","Kolke","9000","3","instock","1","9000","NO","SI"
"174","6551","1048","Cable usb a Lightning 2m","Cables de carga","","8000","3","instock","1","0","NO","SI"
"175","6957","CAB-GEN-LIGHTN-2","Cable 4 en 1 USB C USB lightning","Cables de carga","","7000","1","instock","1","7000","NO","SI"
"176","7235","","Cable micro usb NOGANET 2m","Cables de carga","","7000","7","instock","1","7000","NO","NO"
"177","6495","558","Cable Micro USB Royalcell","Cables de carga","","6000","0","outofstock","1","6000","NO","SI"
"178","6906","CAB-KOLKE-KOLKE","Cable USB c  KOLKE 3A","Cables de carga","Kolke","6000","4","instock","1","6000","NO","SI"
"179","6301","211","Auriculares manos libres JBL in ear C50H","Auriculares inalámbricos","FoxBox","24000","2","instock","1","36000","NO","SI"
"180","6557","CAB-GEN-ALIMEN","Cable alimentacion generico interlook 220 cpu","Cables de carga","","5000","1","instock","1","5000","NO","SI"
"181","6814","SMW-NOGA-RELOJ","Reloj Smartwatch NOGANET NG POWER","Smartwatch","Noganet","46000","0","outofstock","1","46000","NO","SI"
"182","7779","","Kit Directv prepago 60cm","Sin categorizar","","49000","0","outofstock","1","49000","NO","NO"
"183","6816","FND-SEIS-HOLDER","Soporte Holder SEISA brazo largo ventosa","Fundas","Seisa","13000","1","instock","1","13000","NO","SI"
"184","6927","RAD-GEN-TO1601","Radio reproductor TOMATE TO1601 solar","Radios y Sintonizadores","","56000","0","outofstock","1","0","NO","SI"
"185","6613","ELE-PHCO-AFEITA","Afeitadora Philco 3 cabezas AE 5105pp","Cuidado personal","Philco","59000","1","instock","1","55000","NO","SI"
"186","6692","RAD-WINC-W2004","Radio Winco DUAL W2005 AM/FM","Radios y Sintonizadores","Winco","53000","1","instock","1","49000","NO","SI"
"187","6926","RAD-GEN-TO1530","Radio reproductor TOMATE TO1530","Radios y Sintonizadores","","52000","0","outofstock","1","47000","NO","SI"
"188","6922","FND-GEN-COBERT","Cobertor funda para fuentes 20w","Fundas","","8000","1","instock","1","8000","NO","SI"
"189","7443","","Kit de cables 800w 10 Gauge Blauline","Cables de audio","","49000","0","outofstock","1","49000","NO","NO"
"190","6910","AUR-NOGA-NGBT300","Auriculares NOGANET NGBT300 Sport fit","Auriculares inalámbricos","Noganet","14800","0","outofstock","1","14000","NO","SI"
"191","6781","TVS-GEN-W3350M","Soporte Movil para TV WAVETV W3350M Brazo doble 26 - 60''","Soportes para TV","","46000","1","instock","1","0","NO","SI"
"192","6412","361","Matera canasta cuero 100%","Mates","","47000","0","outofstock","1","49000","NO","SI"
"193","7440","Cable Fox Box Prism Micro USB 1,25m","Cable Fox Box Prism Micro USB 1,25m","Auriculares inalámbricos","FoxBox","7000","2","instock","1","0","NO","SI"
"194","6664","SMW-GEN-SMARTW","Smartwatch Gran Luxy 37","Smartwatch","","29000","4","instock","1","29000","NO","SI"
"195","6855","ELE-ULTRCOMB-PEAT1351","Pava electrica Ultracomb corte mate","Cocina","Ultracomb","49000","1","instock","1","43000","NO","SI"
"196","6673","PER-TARG-KIT-2","Kit Gamer TARGA 400","Periféricos","Targa","35000","0","outofstock","1","43500","NO","SI"
"197","6780","TVS-NETM-ST34","Soporte Movil para TV Netmak NM ST34 23 - 43''","Soportes para TV","Netmak","34000","4","instock","1","0","NO","SI"
"198","7991","","Cargador Fox Box MEGA 20W C/cable tipo C","Sin categorizar","","26000","19","instock","1","0","NO","NO"
"199","7319","","Cargador portatil Lambo tech PL82 20.000mah","Power banks","","26000",,"instock","1","0","NO","NO"
"200","6815","RTR-GEN-RED","Cable de red 2m","Routers y WiFi","","6000","1","instock","1","5000","NO","SI"
